web-scraper-order,web-scraper-start-url,skilllane_link,skilllane_link-href,names,comments,stars
1666011772-469,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by สวัสดิ์ สาระพันธื,,2
1666011772-470,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by วัฒน ชัยเดช,,5
1666011772-471,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by นางสาวธารแก้ว กีรตินพดล,ต้องการให้มีการบรรยายมากกว่า 1 ท่าน เพื่อให้ไม่ดูเป็น monotone มากเกินไป,3
1666011772-472,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by เฉลิมเกียรติ กลางสวัสดิ์,,5
1666011772-473,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by สำราญ พรมรัตน์,,4
1666011772-474,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by Rapikorn Nonchoomchung,,5
1666011772-475,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by เชี่ยวชาญ ปิณฑะดิษ,เยี่ยมครับ,5
1666011772-476,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by นันทวัน ไชยเดช,เพิ่มมุมมอง  แนวคิดดีๆในการทำงาน,5
1666011772-477,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by สุวรรณี กิจโกศล,,5
1666011772-478,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by ประธาน ศิริเวช,ปรับ mindset ได้ดีครับ,4
1666011772-479,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by นายสมัค เงาะปก,,5
1666011772-480,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by Nonn Pattrakorn,,5
1666011772-481,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by นายสมหวัง โคตรลาคำ,,5
1666011772-482,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by สุกัญญา สุทธิแพทย์,,5
1666011772-483,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by นายอัศวิน คำไล้,,5
1666011801-484,https://www.skilllane.com/courses/all,"เรียนตัดผมสตรี ไดร์ผม สระผม สร้างอาชีพตั้งแต่พื้นฐานโสภณ ภูมิรัตนวงศ์เจ้าของร้าน Athena Salon Bangkok และยังเป็น Salon Influencer ด้าน
Master Color999 บาท1,999 บาท",https://www.skilllane.com/courses/hair-cut-by-ten,by MN. Rin,ดูจนจบ ได้ความรู้เยอะและเข้าใจง่ายมากๆคะ,5
